resolution,series,3-gram
1,2020,executive order 168
1,2020,order 168 2014
1,2020,168 2014 creates
1,2020,2014 creates inter
1,2020,creates inter agency
1,2020,inter agency task
1,2020,agency task force
1,2020,task force management
1,2020,force management emerging
1,2020,management emerging infectious
1,2020,emerging infectious diseases
1,2020,infectious diseases eid
1,2020,diseases eid philippines
1,2020,eid philippines inter
1,2020,philippines inter agency
1,2020,inter agency task
1,2020,agency task force
1,2020,task force mandated
1,2020,force mandated establish
1,2020,mandated establish system
1,2020,establish system identify
1,2020,system identify screen
1,2020,identify screen assist
1,2020,screen assist filipinos
1,2020,assist filipinos suspected
1,2020,filipinos suspected confirmed
1,2020,suspected confirmed infected
1,2020,confirmed infected eid
1,2020,infected eid prevent
1,2020,eid prevent minimize
1,2020,prevent minimize entry
1,2020,minimize entry suspected
1,2020,entry suspected confirmed
1,2020,suspected confirmed eid
1,2020,confirmed eid country
1,2020,eid country well
1,2020,country well prevent
1,2020,well prevent minimize
1,2020,prevent minimize local
1,2020,minimize local spread
1,2020,local spread eid
1,2020,spread eid country
1,2020,eid country january
1,2020,country january 2020
1,2020,january 2020 chinese
1,2020,2020 chinese health
1,2020,chinese health authorities
1,2020,health authorities reported
1,2020,authorities reported cause
1,2020,reported cause viral
1,2020,cause viral pneumonia
1,2020,viral pneumonia outbreak
1,2020,pneumonia outbreak wuhan
1,2020,outbreak wuhan city
1,2020,wuhan city china
1,2020,city china new
1,2020,china new novel
1,2020,new novel type
1,2020,novel type coronavirus
1,2020,type coronavirus 2019
1,2020,coronavirus 2019 ncov
1,2020,2019 ncov previously
1,2020,ncov previously identified
1,2020,previously identified humans
1,2020,identified humans january
1,2020,humans january 2020
1,2020,january 2020 world
1,2020,2020 world health
1,2020,world health organization
1,2020,health organization classified
1,2020,organization classified risk
1,2020,classified risk level
1,2020,risk level spread
1,2020,level spread ncov
1,2020,spread ncov infection
1,2020,ncov infection high
1,2020,infection high china
1,2020,high china high
1,2020,china high regional
1,2020,high regional level
1,2020,regional level high
1,2020,level high global
1,2020,high global level
1,2020,global level 798
1,2020,level 798 confirmed
1,2020,798 confirmed cases
1,2020,confirmed cases ncov
1,2020,cases ncov resolved
1,2020,ncov resolved inter
1,2020,resolved inter agency
1,2020,inter agency task
1,2020,agency task force
1,2020,task force anchored
1,2020,force anchored public
1,2020,anchored public health
1,2020,public health principles
1,2020,health principles approves
1,2020,principles approves following
1,2020,approves following recommendations
1,2020,following recommendations guide
1,2020,recommendations guide management
1,2020,guide management ncov
1,2020,management ncov situation
1,2020,ncov situation ensure
1,2020,situation ensure continuous
1,2020,ensure continuous support
1,2020,continuous support filipinos
1,2020,support filipinos china
1,2020,filipinos china providing
1,2020,china providing accurate
1,2020,providing accurate timely
1,2020,accurate timely health
1,2020,timely health information
1,2020,health information necessary
1,2020,information necessary support
1,2020,necessary support services
1,2020,support services ensure
1,2020,services ensure comprehensive
1,2020,ensure comprehensive transportation
1,2020,comprehensive transportation quarantine
1,2020,transportation quarantine plans
1,2020,quarantine plans filipinos
1,2020,plans filipinos hubei
1,2020,filipinos hubei province
1,2020,hubei province opt
1,2020,province opt voluntarily
1,2020,opt voluntarily return
1,2020,voluntarily return returning
1,2020,return returning filipinos
1,2020,returning filipinos quarantined
1,2020,filipinos quarantined days
1,2020,quarantined days propose
1,2020,days propose temporary
1,2020,propose temporary restriction
1,2020,temporary restriction issuance
1,2020,restriction issuance visas
1,2020,issuance visas travelers
1,2020,visas travelers coming
1,2020,travelers coming hubei
1,2020,coming hubei province
1,2020,hubei province china
1,2020,province china issue
1,2020,china issue travel
1,2020,issue travel advisories
1,2020,travel advisories temporarily
1,2020,advisories temporarily discouraging
1,2020,temporarily discouraging non
1,2020,discouraging non essential
1,2020,non essential travel
1,2020,essential travel filipinos
1,2020,travel filipinos china
90,2020,section article 1987
90,2020,article 1987 constitution
90,2020,1987 constitution states
90,2020,constitution states state
90,2020,states state protect
90,2020,state protect promote
90,2020,protect promote right
90,2020,promote right health
90,2020,right health people
90,2020,health people instill
90,2020,people instill health
90,2020,instill health consciousness
90,2020,health consciousness among
90,2020,consciousness among section
90,2020,among section executive
90,2020,section executive order
90,2020,executive order 168
90,2020,order 168 mandates
90,2020,168 mandates inter
90,2020,mandates inter agency
90,2020,inter agency task
90,2020,agency task force
90,2020,task force management
90,2020,force management emerging
90,2020,management emerging infectious
90,2020,emerging infectious diseases
90,2020,infectious diseases prevent
90,2020,diseases prevent minimize
90,2020,prevent minimize entry
90,2020,minimize entry suspected
90,2020,entry suspected confirmed
90,2020,suspected confirmed patients
90,2020,confirmed patients emerging
90,2020,patients emerging infectious
90,2020,emerging infectious diseases
90,2020,infectious diseases country
90,2020,diseases country march
90,2020,country march 2020
90,2020,march 2020 recognizing
90,2020,2020 recognizing threat
90,2020,recognizing threat coronavirus
90,2020,threat coronavirus disease
90,2020,coronavirus disease 2019
90,2020,disease 2019 covid
90,2020,2019 covid national
90,2020,covid national security
90,2020,national security president
90,2020,security president rodrigo
90,2020,president rodrigo roa
90,2020,rodrigo roa duterte
90,2020,roa duterte issued
90,2020,duterte issued proclamation
90,2020,issued proclamation 922
90,2020,proclamation 922 2020
90,2020,922 2020 placing
90,2020,2020 placing entire
90,2020,placing entire philippines
90,2020,entire philippines state
90,2020,philippines state public
90,2020,state public health
90,2020,public health emergency
90,2020,health emergency march
90,2020,emergency march 2020
90,2020,march 2020 philippines
90,2020,2020 philippines placed
90,2020,philippines placed state
90,2020,placed state calamity
90,2020,state calamity six
90,2020,calamity six months
90,2020,six months proclamation
90,2020,months proclamation 929
90,2020,proclamation 929 2020
90,2020,929 2020 september
90,2020,2020 september 2020
90,2020,september 2020 president
90,2020,2020 president issued
90,2020,president issued proclamation
90,2020,issued proclamation 1021
90,2020,proclamation 1021 2020
90,2020,1021 2020 extending
90,2020,2020 extending period
90,2020,extending period state
90,2020,period state calamity
90,2020,state calamity throughout
90,2020,calamity throughout philippines
90,2020,throughout philippines september
90,2020,philippines september 2021
90,2020,september 2021 department
90,2020,2021 department health
90,2020,department health received
90,2020,health received reports
90,2020,received reports regarding
90,2020,reports regarding new
90,2020,regarding new variant
90,2020,new variant sars
90,2020,variant sars cov
90,2020,sars cov vui
90,2020,cov vui 2020
90,2020,vui 2020 spreading
90,2020,2020 spreading united
90,2020,spreading united kingdom
90,2020,united kingdom great
90,2020,kingdom great britain
90,2020,great britain northern
90,2020,britain northern ireland
90,2020,northern ireland united
90,2020,ireland united kingdom
90,2020,united kingdom december
90,2020,kingdom december 2020
90,2020,december 2020 department
90,2020,2020 department health
90,2020,department health technical
90,2020,health technical advisory
90,2020,technical advisory group
90,2020,advisory group philippine
90,2020,group philippine genome
90,2020,philippine genome center
90,2020,genome center research
90,2020,center research institute
90,2020,research institute tropical
90,2020,institute tropical medicine
90,2020,tropical medicine world
90,2020,medicine world health
90,2020,world health organization
90,2020,health organization country
90,2020,organization country office
90,2020,country office convened
90,2020,office convened discuss
90,2020,convened discuss reported
90,2020,discuss reported new
90,2020,reported new variant
90,2020,new variant sars
90,2020,variant sars cov
90,2020,sars cov thereafter
90,2020,cov thereafter submitted
90,2020,thereafter submitted recommendations
90,2020,submitted recommendations department
90,2020,recommendations department health
90,2020,department health implementation
90,2020,health implementation proactive
90,2020,implementation proactive measures
90,2020,proactive measures necessary
90,2020,measures necessary ensure
90,2020,necessary ensure utmost
90,2020,ensure utmost protection
90,2020,utmost protection health
90,2020,protection health filipino
90,2020,health filipino people
90,2020,filipino people therefore
90,2020,people therefore resolved
90,2020,therefore resolved hereby
90,2020,resolved hereby resolved
90,2020,hereby resolved iatf
90,2020,resolved iatf approves
90,2020,iatf approves following
90,2020,approves following recommendations
90,2020,following recommendations department
90,2020,recommendations department health
90,2020,department health subject
90,2020,health subject approval
90,2020,subject approval ratification
90,2020,approval ratification modification
90,2020,ratification modification office
90,2020,modification office president
90,2020,office president flights
90,2020,president flights united
90,2020,flights united kingdom
90,2020,united kingdom temporarily
90,2020,kingdom temporarily suspended
90,2020,temporarily suspended december
90,2020,suspended december 2020
90,2020,december 2020 effective
90,2020,2020 effective 0001h
90,2020,effective 0001h december
90,2020,0001h december 2020
90,2020,december 2020 manila
90,2020,2020 manila time
90,2020,manila time december
90,2020,time december 2020
90,2020,december 2020 passengers
90,2020,2020 passengers united
90,2020,passengers united kingdom
90,2020,united kingdom within
90,2020,kingdom within days
90,2020,within days immediately
90,2020,days immediately preceding
90,2020,immediately preceding arrival
90,2020,preceding arrival philippines
90,2020,arrival philippines including
90,2020,philippines including merely
90,2020,including merely transiting
90,2020,merely transiting likewise
90,2020,transiting likewise temporarily
90,2020,likewise temporarily restricted
90,2020,temporarily restricted entering
90,2020,restricted entering philippines
90,2020,entering philippines period
90,2020,philippines period effective
90,2020,period effective immediately
90,2020,effective immediately passengers
90,2020,immediately passengers already
90,2020,passengers already transit
90,2020,already transit united
90,2020,transit united kingdom
90,2020,united kingdom within
90,2020,kingdom within days
90,2020,within days immediately
90,2020,days immediately preceding
90,2020,immediately preceding arrival
90,2020,preceding arrival philippines
90,2020,arrival philippines arrive
90,2020,philippines arrive 0001h
90,2020,arrive 0001h december
90,2020,0001h december 2020
90,2020,december 2020 subject
90,2020,2020 subject restriction
90,2020,subject restriction entry
90,2020,restriction entry nevertheless
90,2020,entry nevertheless required
90,2020,nevertheless required undergo
90,2020,required undergo stricter
90,2020,undergo stricter quarantine
90,2020,stricter quarantine testing
90,2020,quarantine testing protocols
90,2020,testing protocols observation
90,2020,protocols observation absolute
90,2020,observation absolute fourteenday
90,2020,absolute fourteenday quarantine
90,2020,fourteenday quarantine period
90,2020,quarantine period athlete
90,2020,period athlete village
90,2020,athlete village new
90,2020,village new clark
90,2020,new clark city
90,2020,clark city notwithstanding
90,2020,city notwithstanding negative
90,2020,notwithstanding negative reverse
90,2020,negative reverse transcription
90,2020,reverse transcription polymerase
90,2020,transcription polymerase chain
90,2020,polymerase chain reaction
90,2020,chain reaction rtpcr
90,2020,reaction rtpcr result
90,2020,rtpcr result outbound
90,2020,result outbound travel
90,2020,outbound travel united
90,2020,travel united kingdom
90,2020,united kingdom subject
90,2020,kingdom subject existing
90,2020,subject existing exit
90,2020,existing exit protocols
90,2020,exit protocols philippines
90,2020,protocols philippines well
90,2020,philippines well united
90,2020,well united kingdom
90,2020,united kingdom resolved
90,2020,kingdom resolved chairperson
90,2020,resolved chairperson chairperson
90,2020,chairperson chairperson duly
90,2020,chairperson duly authorized
90,2020,duly authorized sign
90,2020,authorized sign resolution
90,2020,sign resolution behalf
90,2020,resolution behalf inter
90,2020,behalf inter agency
90,2020,inter agency task
90,2020,agency task force
90,2020,task force approved
